iter	Logloss
0	0.6237798786
1	0.5641854134
2	0.5131212012
3	0.4695398132
4	0.4325646557
5	0.4007267541
6	0.374677367
7	0.3529180861
8	0.332311068
9	0.3150439658
10	0.300333478
11	0.2881297088
12	0.2768842328
13	0.2668643734
14	0.2581620172
15	0.2500473268
16	0.2434070764
17	0.2381674221
18	0.2324528453
19	0.2275864515
20	0.2230328667
21	0.2188945579
22	0.2155764458
23	0.2124410172
24	0.2095580646
25	0.2072664721
26	0.2050130544
27	0.2029654385
28	0.2005022246
29	0.1988574298
30	0.1970114018
31	0.1948989289
32	0.1931391882
33	0.1915617384
34	0.1904290826
35	0.1892920288
36	0.1881933758
37	0.1872011469
38	0.1862526609
39	0.1853326831
40	0.1845511748
41	0.1839747491
42	0.1832456272
43	0.1824283282
44	0.1817446885
45	0.1812224386
46	0.1806381165
47	0.1797947329
48	0.179153446
49	0.1785744796
50	0.1780184458
51	0.1777189903
52	0.1773535764
53	0.1768794624
54	0.1765228272
55	0.1761693191
56	0.1757728376
57	0.175419962
58	0.1750350627
59	0.1745482498
60	0.1742070347
61	0.1738957739
62	0.1737221213
63	0.173342185
64	0.1730582524
65	0.1727480861
66	0.1721068877
67	0.1717300238
68	0.1713634661
69	0.1711301011
70	0.1708743012
71	0.1706661353
72	0.1704614167
73	0.170251415
74	0.1700666886
75	0.1698448203
76	0.169676378
77	0.1695636714
78	0.1692894702
79	0.1688910844
80	0.168696601
81	0.1683246493
82	0.1681781195
83	0.1679900442
84	0.167771787
85	0.1675827943
86	0.167434453
87	0.1672246003
88	0.1670045037
89	0.1667353443
90	0.1664123429
91	0.1662402585
92	0.1660766118
93	0.1659815319
94	0.165886199
95	0.1657762815
96	0.1655237661
97	0.1652760716
98	0.164984778
99	0.1648681513
100	0.164686478
101	0.1646009101
102	0.1645120161
103	0.1643998872
104	0.1642374997
105	0.164079871
106	0.1640213185
107	0.1637191052
108	0.163644121
109	0.163388173
110	0.1631446525
111	0.1630076841
112	0.1628540654
113	0.1627354448
114	0.1626294442
115	0.1623207426
116	0.1622297343
117	0.1620881503
118	0.1619845157
119	0.1619214832
120	0.1616239533
121	0.1615530765
122	0.1614953756
123	0.1613715972
124	0.1611215947
125	0.1610490937
126	0.1609813617
127	0.1609073567
128	0.1607729314
129	0.1606853196
130	0.1605751361
131	0.1604894898
132	0.1603833975
133	0.1603191386
134	0.1602033717
135	0.1601326511
136	0.1599837814
137	0.1598614519
138	0.1597779375
139	0.1596979849
140	0.1596346861
141	0.1595640456
142	0.1594781867
143	0.1592988575
144	0.1592296629
145	0.1590028056
146	0.1589348497
147	0.1588048266
148	0.158759952
149	0.1584483491
150	0.1583675327
151	0.1582062066
152	0.1581350786
153	0.1580977914
154	0.1579837714
155	0.1578726871
156	0.1578083111
157	0.1577068361
158	0.1576813478
159	0.1575857401
160	0.157500077
161	0.1574456852
162	0.1573516265
163	0.1571795017
164	0.1571061966
165	0.1569963582
166	0.1568872271
167	0.1568136721
168	0.1567375585
169	0.156692838
170	0.1566058191
171	0.1565110339
172	0.1564032524
173	0.1561554175
174	0.1560721904
175	0.1559177833
176	0.1558462317
177	0.155763928
178	0.1557052371
179	0.1555565782
180	0.1554632704
181	0.155410911
182	0.1552755157
183	0.1551518867
184	0.1551060357
185	0.1550374026
186	0.1549756866
187	0.1549135971
188	0.1548456082
189	0.1547761345
190	0.154658066
191	0.1545640186
192	0.1544810803
193	0.1543244033
194	0.154222431
195	0.1541375042
196	0.154041777
197	0.1539552797
198	0.1538582377
199	0.153746931
200	0.1536909786
201	0.153578927
202	0.1534559967
203	0.1533822594
204	0.1532838529
205	0.1532243465
206	0.1531523288
207	0.1530983224
208	0.1530418415
209	0.1528225496
210	0.1527772743
211	0.1527150328
