iter	Passed	Remaining
0	64	64467
1	72	36156
2	83	27642
3	91	22830
4	101	20099
5	109	18074
6	119	17022
7	129	16072
8	138	15250
9	147	14644
10	156	14111
11	168	13853
12	179	13633
13	188	13267
14	197	12994
15	209	12854
16	218	12652
17	229	12522
18	238	12298
19	249	12238
20	261	12169
21	269	12001
22	278	11846
23	287	11686
24	296	11582
25	304	11418
26	314	11321
27	324	11266
28	333	11176
29	343	11090
30	351	10986
31	360	10905
32	368	10806
33	378	10752
34	386	10661
35	395	10597
36	403	10511
37	413	10475
38	423	10431
39	432	10383
40	441	10338
41	449	10253
42	458	10213
43	466	10144
44	476	10108
45	484	10042
46	494	10026
47	503	9979
48	511	9931
49	522	9934
50	532	9907
51	541	9875
52	549	9825
53	558	9791
54	567	9745
55	576	9717
56	585	9685
57	593	9638
58	602	9612
59	610	9565
60	620	9545
61	628	9509
62	637	9477
63	645	9436
64	654	9409
65	662	9369
66	671	9347
67	679	9312
68	689	9301
69	697	9269
70	706	9249
71	714	9209
72	723	9188
73	731	9150
74	739	9119
75	747	9090
76	756	9064
77	764	9032
78	773	9021
79	782	9000
80	790	8971
81	799	8946
82	807	8918
83	815	8897
84	823	8868
85	832	8844
86	840	8818
87	848	8797
88	856	8771
89	865	8749
90	875	8741
91	884	8726
92	892	8706
93	901	8691
94	909	8661
95	917	8642
96	928	8646
97	938	8635
98	948	8628
99	957	8613
100	966	8605
101	975	8589
102	985	8583
103	994	8570
104	1004	8564
105	1014	8555
106	1023	8542
107	1035	8552
108	1046	8553
109	1057	8555
110	1069	8566
111	1079	8560
112	1090	8558
113	1098	8540
114	1106	8515
115	1116	8505
116	1124	8484
117	1132	8466
118	1140	8445
119	1149	8429
120	1157	8407
121	1165	8387
122	1173	8365
123	1183	8357
124	1191	8338
125	1199	8323
126	1207	8299
127	1216	8289
128	1224	8268
129	1233	8253
130	1241	8234
131	1250	8220
132	1257	8199
133	1265	8176
134	1273	8157
135	1281	8143
136	1288	8114
137	1296	8099
138	1303	8077
139	1312	8059
140	1319	8040
141	1327	8022
142	1335	8004
143	1344	7990
144	1352	7974
145	1361	7964
146	1370	7951
147	1377	7932
148	1385	7910
149	1394	7901
150	1402	7884
151	1411	7872
152	1418	7855
153	1428	7845
154	1436	7829
155	1445	7821
156	1453	7804
157	1462	7792
158	1469	7772
159	1478	7760
160	1486	7744
161	1495	7735
162	1503	7722
163	1514	7719
164	1522	7706
165	1531	7693
166	1540	7683
167	1548	7669
168	1558	7662
169	1566	7647
170	1575	7637
171	1583	7623
172	1592	7613
173	1600	7599
174	1610	7592
175	1619	7581
176	1628	7570
177	1636	7555
178	1644	7542
179	1653	7531
180	1661	7516
181	1669	7505
182	1680	7502
183	1690	7498
184	1698	7483
185	1708	7475
186	1715	7460
187	1725	7452
188	1733	7438
189	1741	7425
190	1749	7411
191	1759	7406
192	1770	7401
193	1778	7390
194	1788	7383
195	1796	7369
196	1805	7359
197	1813	7343
198	1822	7337
199	1832	7331
200	1842	7325
201	1850	7312
202	1860	7302
203	1869	7292
204	1878	7284
205	1888	7277
206	1896	7264
207	1905	7255
208	1913	7242
209	1922	7231
210	1930	7219
211	1939	7210
212	1947	7195
213	1956	7185
214	1964	7171
215	1973	7161
216	1981	7149
217	1990	7139
218	1999	7129
219	2008	7120
220	2017	7110
221	2025	7097
222	2034	7090
223	2043	7080
224	2052	7069
225	2060	7057
226	2068	7045
227	2077	7034
228	2085	7022
229	2093	7007
230	2101	6995
231	2109	6983
232	2117	6972
233	2126	6962
234	2135	6952
235	2144	6942
236	2153	6932
237	2162	6922
238	2170	6911
239	2179	6901
240	2187	6890
241	2196	6880
242	2204	6867
243	2212	6856
244	2221	6845
245	2229	6832
246	2236	6819
247	2245	6807
248	2253	6796
249	2261	6784
250	2269	6773
251	2278	6762
252	2286	6751
253	2294	6739
254	2302	6728
255	2311	6716
256	2319	6705
257	2327	6694
258	2337	6686
259	2345	6675
260	2352	6662
261	2362	6653
262	2370	6641
263	2379	6633
264	2387	6621
265	2395	6610
266	2403	6598
267	2411	6587
268	2419	6574
269	2427	6564
270	2435	6552
271	2444	6542
272	2452	6530
273	2461	6521
274	2469	6511
275	2479	6504
276	2488	6494
277	2497	6485
278	2505	6473
279	2514	6465
280	2522	6454
281	2531	6446
282	2539	6434
283	2549	6427
284	2557	6415
285	2565	6405
286	2574	6397
287	2583	6386
288	2591	6374
289	2599	6364
290	2607	6353
291	2616	6343
292	2624	6333
293	2632	6321
294	2641	6311
295	2649	6301
296	2656	6288
297	2665	6278
298	2673	6268
299	2682	6258
300	2690	6248
301	2698	6236
302	2706	6225
303	2714	6214
304	2721	6202
305	2730	6192
306	2738	6182
307	2748	6175
308	2756	6164
309	2764	6152
310	2773	6144
311	2781	6133
312	2789	6123
313	2797	6111
314	2805	6101
315	2814	6092
316	2822	6080
317	2832	6073
318	2841	6065
319	2850	6056
320	2860	6050
321	2867	6038
322	2877	6031
323	2886	6022
324	2894	6012
325	2904	6005
326	2911	5992
327	2920	5982
328	2927	5970
329	2935	5959
330	2943	5948
331	2951	5938
332	2959	5927
333	2967	5917
334	2975	5906
335	2982	5894
336	2990	5883
337	2998	5872
338	3007	5864
339	3017	5857
340	3027	5849
341	3035	5840
342	3044	5830
343	3052	5821
344	3060	5810
345	3067	5798
346	3076	5788
347	3084	5778
348	3093	5769
349	3101	5759
350	3109	5749
351	3118	5740
352	3127	5732
353	3135	5722
354	3144	5713
355	3154	5705
356	3163	5697
357	3172	5689
358	3180	5678
359	3189	5669
360	3196	5658
361	3204	5648
362	3213	5639
363	3221	5628
364	3229	5618
365	3238	5609
366	3246	5598
367	3255	5590
368	3263	5581
369	3271	5570
370	3279	5559
371	3287	5549
372	3295	5539
373	3303	5528
374	3310	5517
375	3318	5507
376	3327	5499
377	3336	5489
378	3343	5478
379	3351	5468
380	3359	5458
381	3368	5450
382	3376	5439
383	3385	5430
384	3393	5420
385	3401	5410
386	3408	5399
387	3416	5389
388	3424	5379
389	3432	5368
390	3440	5359
391	3448	5349
392	3456	5338
393	3464	5328
394	3472	5318
395	3480	5308
396	3487	5297
397	3496	5288
398	3503	5277
399	3512	5268
400	3519	5257
401	3527	5247
402	3536	5238
403	3545	5229
404	3552	5219
405	3562	5211
406	3569	5201
407	3577	5190
408	3585	5180
409	3593	5171
410	3601	5161
411	3609	5152
412	3617	5142
413	3626	5133
414	3635	5124
415	3642	5114
416	3650	5103
417	3658	5093
418	3667	5084
419	3675	5075
420	3683	5065
421	3691	5056
422	3699	5046
423	3707	5037
424	3715	5027
425	3723	5017
426	3732	5008
427	3739	4998
428	3747	4988
429	3755	4978
430	3763	4968
431	3770	4957
432	3778	4947
433	3786	4938
434	3794	4928
435	3802	4918
436	3810	4909
437	3819	4900
438	3826	4889
439	3834	4880
440	3842	4870
441	3850	4861
442	3858	4851
443	3866	4842
